순위,시군구명,법정동명,법정동코드,LDRI_raw,점수,총점_raw,총점
1,영등포구,양평동2가,1156012600,0.521384,0,0.521384,100
2,종로구,숭인동,1111017500,0.494563,0,0.494563,94.855807
3,서대문구,대신동,1141011300,0.4819,0,0.4819,92.427079
4,용산구,동자동,1117010700,0.459823,0,0.459823,88.192772
5,종로구,신문로2가,1111012100,0.450981,0,0.450981,86.496901
6,마포구,마포동,1144010700,0.445244,0,0.445244,85.39656
7,서대문구,신촌동,1141011400,0.438299,0,0.438299,84.064528
8,성동구,용답동,1120012200,0.433759,0,0.433759,83.193769
9,성북구,동선동3가,1129011800,0.415714,0,0.415714,79.732788
10,서대문구,창천동,1141011600,0.392039,0.0001,0.392009,75.186235
11,영등포구,영등포동8가,1156010900,0.386273,0,0.386273,74.086086
12,마포구,현석동,1144011200,0.385239,0.0121,0.381609,73.191544
13,성북구,동선동2가,1129011700,0.379308,0,0.379308,72.750219
14,용산구,용산동3가,1117012600,0.359346,0,0.359346,68.921563
15,영등포구,양평동1가,1156012500,0.356521,0,0.356521,68.379735
16,성북구,삼선동1가,1129011100,0.35343,0,0.35343,67.78689
17,종로구,관수동,1111015500,0.352313,0,0.352313,67.572653
18,성북구,안암동1가,1129012100,0.350987,0,0.350987,67.31833
19,영등포구,영등포동7가,1156010800,0.347892,0,0.347892,66.724717
20,영등포구,영등포동6가,1156010700,0.346918,0,0.346918,66.537907
21,마포구,동교동,1144012100,0.346473,0,0.346473,66.452557
22,영등포구,영등포동4가,1156010500,0.343615,0,0.343615,65.904401
23,용산구,남영동,1117010500,0.342661,0,0.342661,65.721426
24,성북구,안암동3가,1129012300,0.338742,0,0.338742,64.969773
25,용산구,청파동1가,1117010900,0.328477,0,0.328477,63.000974
26,광진구,군자동,1121510900,0.324798,0,0.324798,62.295352
27,중구,장충동1가,1114014300,0.323935,0,0.323935,62.129831
28,성동구,사근동,1120010600,0.322843,0,0.322843,61.920389
29,마포구,노고산동,1144011000,0.322999,0.0012,0.322639,61.881262
30,성북구,안암동5가,1129012500,0.322262,0,0.322262,61.808955
31,금천구,가산동,1154510100,0.321866,0.0012,0.321506,61.663956
32,영등포구,영등포동,1156010100,0.325621,0.0195,0.319771,61.331188
33,용산구,갈월동,1117010400,0.317109,0.0046,0.315729,60.555943
34,용산구,한강로2가,1117012500,0.312425,0,0.312425,59.922245
35,중구,장충동2가,1114014400,0.312349,0,0.312349,59.907669
36,중구,회현동1가,1114012100,0.311196,0,0.311196,59.686527
37,중구,쌍림동,1114014700,0.310411,0,0.310411,59.535966
38,영등포구,영등포동2가,1156010300,0.308103,0,0.308103,59.093298
39,구로구,가리봉동,1153010300,0.306953,0,0.306953,58.872731
40,용산구,청파동2가,1117011000,0.305698,0,0.305698,58.632026
41,동작구,노량진동,1159010100,0.332628,0.0929,0.304758,58.451736
42,서대문구,옥천동,1141010700,0.303809,0,0.303809,58.269721
43,종로구,동숭동,1111016800,0.302061,0,0.302061,57.934459
44,용산구,원효로2가,1117011300,0.298007,0,0.298007,57.156913
45,용산구,서계동,1117010800,0.299967,0.0103,0.296877,56.940182
46,영등포구,영등포동3가,1156010400,0.29584,0,0.29584,56.741289
47,용산구,한남동,1117013100,0.295328,0,0.295328,56.643088
48,영등포구,도림동,1156011800,0.298158,0.0151,0.293628,56.317033
49,강서구,등촌동,1150010200,0.293365,0.0115,0.289915,55.60489
50,성동구,송정동,1120011800,0.293021,0.0153,0.288431,55.320263
51,중구,예장동,1114014200,0.288133,0,0.288133,55.263107
52,용산구,청파동3가,1117011100,0.287248,0,0.287248,55.093367
53,성북구,삼선동3가,1129011300,0.285073,0,0.285073,54.676208
54,영등포구,당산동1가,1156011100,0.283347,0,0.283347,54.345166
55,용산구,용산동2가,1117010200,0.282942,0,0.282942,54.267488
56,광진구,화양동,1121510700,0.282479,0.0044,0.281159,53.925514
57,용산구,원효로1가,1117011200,0.288226,0.0273,0.280036,53.710125
58,영등포구,영등포동5가,1156010600,0.278943,0,0.278943,53.500491
59,동대문구,용두동,1123010200,0.300378,0.0725,0.278628,53.440075
60,동대문구,회기동,1123010800,0.278278,0,0.278278,53.372946
61,영등포구,영등포동1가,1156010200,0.275149,0,0.275149,52.772812
62,서대문구,대현동,1141011200,0.275142,0,0.275142,52.77147
63,성북구,동소문동7가,1129011000,0.273817,0.0006,0.273637,52.482815
64,마포구,서교동,1144012000,0.279437,0.0255,0.271787,52.12799
65,동대문구,청량리동,1123010700,0.291311,0.0704,0.270191,51.821882
66,종로구,혜화동,1111016900,0.264774,0,0.264774,50.782916
67,영등포구,양평동6가,1156013000,0.262268,0,0.262268,50.302272
68,용산구,이태원동,1117013000,0.257716,0,0.257716,49.429211
69,종로구,옥인동,1111011100,0.257549,0,0.257549,49.397181
70,마포구,합정동,1144012200,0.25683,0,0.25683,49.259279
71,강북구,번동,1130510200,0.254829,0,0.254829,48.875493
72,중구,필동3가,1114013900,0.253209,0,0.253209,48.564781
73,은평구,대조동,1138010600,0.260247,0.0322,0.250587,48.061889
74,송파구,석촌동,1171010500,0.249307,0,0.249307,47.816389
75,용산구,보광동,1117013600,0.248096,0,0.248096,47.584122
76,용산구,용문동,1117012100,0.24779,0,0.24779,47.525432
77,용산구,후암동,1117010100,0.247771,0,0.247771,47.521788
78,성북구,삼선동4가,1129011400,0.247572,0,0.247572,47.483621
79,영등포구,당산동4가,1156011400,0.24713,0,0.24713,47.398846
80,마포구,대흥동,1144010800,0.252067,0.0175,0.246817,47.338814
81,마포구,도화동,1144010400,0.268602,0.0735,0.246552,47.287987
82,중랑구,중화동,1126010300,0.250849,0.0175,0.245599,47.105205
83,종로구,명륜3가,1111017300,0.244851,0,0.244851,46.96174
84,영등포구,당산동6가,1156011600,0.243753,0.0014,0.243333,46.670592
85,송파구,삼전동,1171010600,0.242947,0,0.242947,46.596558
86,성동구,성수동2가,1120011500,0.242933,0,0.242933,46.593873
87,중랑구,망우동,1126010500,0.242852,0,0.242852,46.578338
88,동대문구,이문동,1123011000,0.295785,0.1784,0.242265,46.465753
89,영등포구,양평동5가,1156012900,0.240859,0,0.240859,46.196086
90,용산구,서빙고동,1117013300,0.239886,0,0.239886,46.009467
91,서대문구,충정로3가,1141010200,0.239519,0,0.239519,45.939078
92,종로구,이화동,1111016500,0.238043,0,0.238043,45.655985
93,관악구,남현동,1162010300,0.237731,0,0.237731,45.596144
94,동작구,동작동,1159010600,0.237487,0,0.237487,45.549346
95,서대문구,천연동,1141010600,0.237413,0,0.237413,45.535153
96,종로구,홍지동,1111018500,0.235956,0,0.235956,45.255704
97,금천구,독산동,1154510200,0.240833,0.0168,0.235793,45.224441
98,종로구,연건동,1111016600,0.234489,0,0.234489,44.974338
99,영등포구,당산동,1156011700,0.24291,0.0341,0.23268,44.627376
100,종로구,창신동,1111017400,0.231301,0.0014,0.230881,44.282333
101,성북구,성북동,1129010100,0.230782,0,0.230782,44.263345
102,용산구,신계동,1117012300,0.234236,0.0154,0.229616,44.03971
103,중구,무학동,1114016400,0.229211,0,0.229211,43.962032
104,중구,필동2가,1114013800,0.227676,0,0.227676,43.667623
105,종로구,충신동,1111016700,0.228319,0.0022,0.227659,43.664363
106,영등포구,당산동3가,1156011300,0.227539,0,0.227539,43.641347
107,강남구,논현동,1168010800,0.231302,0.0145,0.226952,43.528762
108,성동구,금호동2가,1120011000,0.24089,0.0466,0.22691,43.520706
109,종로구,통인동,1111010800,0.226883,0,0.226883,43.515528
110,광진구,능동,1121510200,0.22642,0,0.22642,43.426726
111,성북구,동선동1가,1129011600,0.226318,0,0.226318,43.407162
112,광진구,중곡동,1121510100,0.231312,0.017,0.226212,43.386832
113,중구,황학동,1114016500,0.23535,0.031,0.22605,43.355761
114,마포구,연남동,1144012400,0.226541,0.0026,0.225761,43.300331
115,성북구,삼선동5가,1129011500,0.224275,0,0.224275,43.015321
116,종로구,청운동,1111010100,0.223666,0,0.223666,42.898516
117,성북구,동소문동4가,1129010700,0.223385,0,0.223385,42.844621
118,마포구,중동,1144012600,0.222853,0,0.222853,42.742585
119,동대문구,제기동,1123010300,0.232035,0.0359,0.221265,42.438011
120,관악구,신림동,1162010200,0.276234,0.184,0.221034,42.393706
121,마포구,토정동,1144010600,0.221015,0,0.221015,42.390062
122,용산구,원효로3가,1117011700,0.220465,0,0.220465,42.284573
123,동작구,사당동,1159010700,0.225638,0.0239,0.218468,41.901554
124,마포구,당인동,1144011800,0.218224,0,0.218224,41.854756
125,용산구,신창동,1117011400,0.216723,0,0.216723,41.566868
126,구로구,오류동,1153010800,0.234228,0.0607,0.216018,41.431651
127,중구,을지로6가,1114014800,0.216254,0.0018,0.215714,41.373345
128,용산구,동빙고동,1117013200,0.214259,0,0.214259,41.09428
129,성북구,성북동1가,1129010200,0.214089,0,0.214089,41.061674
130,서초구,양재동,1165010200,0.231279,0.0575,0.214029,41.050166
131,은평구,수색동,1138010100,0.252342,0.1323,0.212652,40.786062
132,중구,묵정동,1114013600,0.212453,0,0.212453,40.747894
133,성북구,보문동5가,1129012700,0.212395,0,0.212395,40.73677
134,송파구,마천동,1171011400,0.249758,0.1247,0.212348,40.727755
135,송파구,방이동,1171011100,0.212078,0,0.212078,40.67597
136,용산구,효창동,1117011900,0.215364,0.0128,0.211524,40.569714
137,서대문구,연희동,1141011700,0.212227,0.0034,0.211207,40.508915
138,마포구,구수동,1144011300,0.210592,0,0.210592,40.390959
139,마포구,망원동,1144012300,0.209563,0.0005,0.209413,40.164831
140,성북구,보문동1가,1129013000,0.209235,0,0.209235,40.130691
141,용산구,산천동,1117011500,0.219053,0.0335,0.209003,40.086194
142,마포구,신공덕동,1144010300,0.222135,0.0443,0.208845,40.05589
143,강남구,역삼동,1168010100,0.214442,0.0191,0.208712,40.030381
144,성북구,동소문동6가,1129010900,0.208237,0,0.208237,39.939277
145,종로구,명륜1가,1111017000,0.207704,0,0.207704,39.837049
146,성북구,삼선동2가,1129011200,0.207251,0,0.207251,39.750165
147,성동구,도선동,1120010400,0.206946,0,0.206946,39.691667
148,구로구,고척동,1153010600,0.208852,0.0117,0.205342,39.384024
149,성북구,안암동4가,1129012400,0.204927,0,0.204927,39.304428
150,동작구,본동,1159010400,0.215992,0.0371,0.204862,39.291961
151,강동구,천호동,1174010900,0.22744,0.078,0.20404,39.134304
152,광진구,구의동,1121510300,0.206236,0.0084,0.203716,39.072162
153,성북구,상월곡동,1129013700,0.21052,0.0256,0.20284,38.904147
154,중랑구,면목동,1126010100,0.235509,0.1103,0.202419,38.823401
155,마포구,염리동,1144010900,0.202138,0,0.202138,38.769506
156,성동구,금호동3가,1120011100,0.204318,0.0075,0.202068,38.75608
157,용산구,한강로1가,1117012400,0.218696,0.0569,0.201626,38.671306
158,종로구,명륜4가,1111017200,0.20147,0,0.20147,38.641385
159,은평구,불광동,1138010300,0.22535,0.08,0.20135,38.61837
160,마포구,신수동,1144011100,0.227894,0.0907,0.200684,38.490633
161,성동구,성수동1가,1120011400,0.199898,0,0.199898,38.33988
162,용산구,한강로3가,1117012800,0.199779,0,0.199779,38.317056
163,강동구,성내동,1174010800,0.2105,0.0358,0.19976,38.313412
164,용산구,원효로4가,1117011800,0.19958,0,0.19958,38.278888
165,영등포구,양평동4가,1156012800,0.199032,0,0.199032,38.173784
166,은평구,역촌동,1138010800,0.201011,0.0072,0.198851,38.139068
167,강북구,우이동,1130510400,0.197982,0,0.197982,37.972397
168,은평구,갈현동,1138010400,0.199386,0.0051,0.197856,37.94823
169,동작구,신대방동,1159010900,0.210915,0.0436,0.197835,37.944202
170,중구,광희동2가,1114014600,0.1975,0,0.1975,37.87995
171,은평구,녹번동,1138010200,0.211423,0.0551,0.194893,37.379935
172,중구,중림동,1114017100,0.204397,0.0328,0.194557,37.315491
173,성북구,동선동5가,1129012000,0.19385,0,0.19385,37.17989
174,종로구,홍파동,1111017900,0.19347,0,0.19347,37.107008
175,마포구,공덕동,1144010200,0.214052,0.0687,0.193442,37.101637
176,성북구,하월곡동,1129013600,0.222502,0.0975,0.193252,37.065196
177,동작구,상도1동,1159010300,0.192315,0,0.192315,36.885482
178,은평구,증산동,1138011000,0.198772,0.0218,0.192232,36.869563
179,송파구,송파동,1171010400,0.192299,0.0021,0.191669,36.761581
180,강서구,염창동,1150010100,0.191341,0,0.191341,36.698671
181,중랑구,상봉동,1126010200,0.237636,0.1583,0.190146,36.469474
182,도봉구,쌍문동,1132010500,0.19395,0.0161,0.18912,36.27269
183,서대문구,충정로2가,1141010100,0.18824,0,0.18824,36.103908
184,마포구,성산동,1144012500,0.238261,0.1693,0.187471,35.956416
185,도봉구,창동,1132010700,0.188473,0.0046,0.187093,35.883917
186,성북구,석관동,1129013900,0.194404,0.025,0.186904,35.847667
187,강서구,화곡동,1150010300,0.189754,0.0115,0.186304,35.732589
188,성북구,장위동,1129013800,0.230604,0.1478,0.186264,35.724917
189,동작구,대방동,1159010800,0.187164,0.0035,0.186114,35.696147
190,성북구,종암동,1129013500,0.218044,0.1065,0.186094,35.692311
191,영등포구,신길동,1156013200,0.244022,0.1933,0.186032,35.68042
192,종로구,신영동,1111018600,0.184401,0,0.184401,35.367599
193,종로구,내수동,1111011800,0.1842,0,0.1842,35.329047
194,성북구,보문동7가,1129012900,0.183661,0,0.183661,35.225669
195,동대문구,장안동,1123010600,0.188162,0.0158,0.183422,35.179829
196,강동구,길동,1174010500,0.19237,0.0307,0.18316,35.129578
197,영등포구,양평동3가,1156012700,0.183049,0,0.183049,35.108289
198,강남구,청담동,1168010400,0.182308,0.0017,0.181798,34.86835
199,광진구,자양동,1121510500,0.210133,0.0971,0.181003,34.715872
200,종로구,누상동,1111010900,0.179742,0,0.179742,34.474015
201,강남구,세곡동,1168011100,0.222787,0.144,0.179587,34.444287
202,강북구,수유동,1130510300,0.184365,0.0191,0.178635,34.261696
